subjectId,qset,code_a,code_b,code_t,audio1,passage1,audio2,passage2,testaudio
51,2,5124102A,5124102B,T_51_1,5124102A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124102A.mp3,5124102B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124102B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_51_1.mp3
51,3,5124103A,5124103B,T_51_1,5124103A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124103A.mp3,5124103B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124103B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_51_1.mp3
51,4,5124104A,5124104B,T_51_4,5124104A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124104A.mp3,5124104B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124104B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_51_4.mp3
51,5,5124105A,5124105B,T_51_4,5124105A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124105A.mp3,5124105B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124105B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_51_4.mp3
51,6,5124106A,5124106B,T_51_4,5124106A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124106A.mp3,5124106B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124106B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_51_4.mp3
51,7,5124107A,5124107B,T_51_5,5124107A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124107A.mp3,5124107B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124107B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_51_5.mp3
51,8,5124108A,5124108B,T_51_5,5124108A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124108A.mp3,5124108B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124108B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_51_5.mp3
52,1,5224101A,5224101B,T_52_4,5224101A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224101A.mp3,5224101B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224101B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_52_4.mp3
52,2,5224102A,5224102B,T_52_4,5224102A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224102A.mp3,5224102B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224102B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_52_4.mp3
52,3,5224103A,5224103B,T_52_4,5224103A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224103A.mp3,5224103B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224103B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_52_4.mp3
52,4,5224104A,5224104B,T_52_5,5224104A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224104A.mp3,5224104B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224104B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_52_5.mp3
52,5,5224105A,5224105B,T_52_5,5224105A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224105A.mp3,5224105B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224105B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_52_5.mp3
52,6,5224106A,5224106B,T_52_5,5224106A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224106A.mp3,5224106B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224106B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_52_5.mp3
52,7,5224107A,5224107B,T_52_5,5224107A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224107A.mp3,5224107B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224107B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_52_5.mp3
52,8,5224108A,5224108B,T_52_5,5224108A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224108A.mp3,5224108B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5224108B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_52_5.mp3
53,1,5324101A,5324101B,T_53_2,5324101A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5324101A.mp3,5324101B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5324101B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_53_2.mp3
53,2,5324102A,5324102B,T_53_2,5324102A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5324102A.mp3,5324102B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5324102B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_53_2.mp3
53,3,5324103A,5324103B,T_53_2,5324103A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5324103A.mp3,5324103B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5324103B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_53_2.mp3
53,4,5324104A,5324104B,T_53_2,5324104A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5324104A.mp3,5324104B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5324104B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_53_2.mp3
53,5,5324105A,5324105B,T_53_3,5324105A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5324105A.mp3,5324105B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5324105B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_53_3.mp3
